arquivo,carimbo,folha,tipo,escala,ano,arquiteto,projeto,endereco
Co_pia_de_DEST2962.jpeg,sim,5,Planta,,,SAMI BUSSAB,EDIFICIO ADMINISTRATIVO,PEDRO DE TOLEDO
DEST2482.jpeg,sim,,Detalhes,1:10,1977,SAMI BUSSAB,,UBATUBA
DEST2485.jpeg,sim,5,Corte,1:50,1974,SAMI BUSSAB,CASA DE PRAIA,PRAIA VERMELHA
DEST2486.jpeg,sim,10,Esquadrias,,1975,SAMI BUSSAB,CASA DE PRAIA,PRAIA VERMELHA
DEST2487.jpeg,sim,1,Implantação,1:20,1976,SAMI BUSSAB,CASA DE PRAIA,PRAIA VERMELHA
DEST2488.jpeg,sim,11,Detalhes,,1975,SAMI BUSSAB,CASA DE PRAIA,PRAIA VERMELHA
DEST2489.jpeg,sim,9,Esquadrias,,1975,SAMI BUSSAB,CASA DE PRAIA,PRAIA VERMELHA
DEST2490.jpeg,sim,8,Escadas,1:20,1974,SAMI BUSSAB,CASA DE PRAIA,PRAIA VERMELHA
DEST2491.jpeg,sim,5,Corte,1:50,1974,SAMI BUSSAB,CASA DE PRAIA,PRAIA VERMELHA
DEST2492.jpeg,sim,4,Cobertura,1:50,,SAMI BUSSAB,CASA DE PRAIA,PRAIA VERMELHA
DEST2493.jpeg,sim,7,Detalhes,1:50,1974,SAMI BUSSAB,CASA DE PRAIA,PRAIA VERMELHA
